Safeguard_Text,Extracted_Tag_Clean,Technique,Node_ID,Confidence,Semantic_Score,S,Cause_Text,Consequence_Text
FAL-80717 low flow alarm downstream of AF-80996 will shutdown pumps PM- 206A/B,AF-80996 | FAL-80717,Tier 1: Explicit Interlock/AF Tag,Node 25,High,N/A,4.0,T-92182 Combi Tower Tray Pluggage | Level control valve LCV-20382 fails closed | Manual valve closed inadvertently in Kero Stripper Product Pump PM-48495A/B suction or basket strainers on suction lines plugged,"Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-80996; Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-92182 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact"
FAL-80717 low flow alarm downstream of AF-80996 will shutdown pumps PM- 206A/B,AF-80996 | FAL-80717,Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | Plugged Kero Filters | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact"
FALL-51015 low- low flow alarm will shutdown pumps PM- 312A/B,FALL-51015,Tier 1: Explicit Interlock/AF Tag,Node 12,High,N/A,4.0,"PM-43641A/B pumps fail to trip off | Manual valve(s) downstream of PM- 312A/B pumps inadvertently closed | 3"" manual valve on suction to PM-43641A/B pumps inadvertently closed","Potential to drain all level from PV-14664 Flare KO Drum; Potential to lose suction to PM-43641A/B pumps; Potential to cavitate pumps with seal failure, potential ignition and personnel impact | Blocked discharge from PM-43641A/B pumps; Potential to deadhead pumps with seal failure, potential ignition and personnel impact | Loss of suction to PM-43641A/B pumps; Potential to cavitate pumps with seal failure, potential ignition and personnel impact"
FCV- 24100/24120 fuel supply control valve will further control the fuel gas supply pressure,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 28,Medium,0.351,4.0,What if fuel supply regulator fails open?,"Increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact"
FD Fan BM-73992 or ID Fan BM-59524 shutdown trips Hot Oil Heater F-81314,BM-73992 | BM-59524,Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,3.0,What if blower or motor fails?,"Potential for over temperature of Hot Oil Heater F- 101/ducts, heater damage"
FD Fan BM-99986 or ID Fan BM-80996 shutdown trips Hot Oil Heater F-33219,BM-99986 | BM-80996,Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,3.0,What if blower or motor fails?,"Potential for over temperature of Hot Oil Heater F- 201/ducts, heater damage"
FSL-69404/5002 low flow switch will shutdown chiller compressor units,FSL-69404,Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,1.0,"Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25 | Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | Recirculation Pump P-6 stops | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation","Loss of Light Naphtha flow to storage from chiller, loss of heat load on glycol circuit, low delta temperature on chiller units, potential chiller compressor damage, release of glycol/ refrigerant and minor environmental impact, potential equipment damage"
Flow switch FS- 1/2 on low flow shutdown on glycol after chiller compressors with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,1.0,P-35796A/B/C glycol pump trip,"Loss of glycol flow to Light Naphtha Rundown/Recirculation Chillers EX-28669/115, increased tank temperature, increased light naphtha true vapor pressure (TVP), potential release from Light Naphtha Tank TK-24946-24/25, potential off-spec product, environmental exceedance"
Flow switch FS- 9125 low flow shutdown on pump P- HX with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 44,High,N/A,4.0,"All 8"" manual valves closed on feed manifold outlet of tank TK-97415/1/2/3 to Transfer Pump P-HX when transferring from tank to tank | Pump P-HX stops | Pump P-7 stops | 8"" valve closed on discharge of Pump P-7 | 10"" valve closed on discharge of Pump P- HX or 8"" valve closed on inlet of AGO Exchangers HX-1/2 | 12"" valve closed on suction to Pump P-7 or strainer plugs","Loss of Rerun flow to Pumps P-7 and P-HX, potential cavitation and seal leak of P-HX, release of rerun/ condensate to grade, potential seal fire or explosion, personnel injury, environmental impact | Decreased flow of Rerun tank to tank transfer rate, delay in transfer; Potential financial impact | Blocked flow from pump P-HX; Potential pump deadhead and seal leak of P-HX, release of rerun/ condensate to grade, potential seal fire or explosion, personnel injury, environmental impact"
Flow switch FS- 9202/04 low flow shutdown on pump P- 1A/B with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","No flow of kero from kero tanks TK-61869-11/20 and 85935-10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Loss of flow from kero P-1A/B, potential deadhead and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | No flow of kero from kero tanks TK-61869-11/20 and 85935- 10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact"
Flow switch FS- 9202/04 low flow shutdown on pump P- 1A/B with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,4.0,"MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-72031 /9326 closed on outlet of tank TK-61869-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs","Decreased flow of diesel from Diesel Tanks TK-61869- 12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869-12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Blocked flow out of Transfer Pump P-1A/B, potential deadhead and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact"
Flow switch FS- 9212 low flow shutdown on pump P-4 with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,"12"" or 41824"" valve closed on suction to Kero Transfer Pump P-4 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-4","Loss of flow to Kero to Transfer Pump P-4, potential cavitation and seal leak, release of kero to atmosphere, potential seal fire, personnel injury, environmental impact | Loss of flow from Kero to Transfer Pump P-4, potential deadhead and seal leak, release of kero to atmosphere, potential seal fire, personnel injury, environmental impact"
Flow switch FS- 9212 low flow shutdown on pump P-4 with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,4.0,"10"" valve closed on discharge of Transfer Pump P-4 to other tank (when performing tank transfer) | 12"" or 41824"" valve closed on suction to Transfer Pump P-4 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-4","Loss of flow from Transfer Pump P-4, potential deadhead and seal leak, release of diesel to atmosphere, potential seal fire from seal, personnel injury, environmental impact | Loss of flow to Diesel to Transfer Pump P-4, potential cavitation and seal leak, release of diesel to atmosphere, potential seal fire from seal, personnel injury, environmental impact"
Flow switch FS- 9302/04 low flow shutdown on pump P- 3A/B with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,"MOV-85766/ 06/ 07 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | MOV-19780 /9327/ 9328 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | Blocked 14"" manual outlet valve of Transfer Pump P-3A/B | MOV-42589/12 closed on inlet valve to Transfer Pump P-3A/B or strainer plugs","Blocked flow from Transfer Pump P-3A/B, potential deadhead and seal leak, release of AGO to grade, potential ignition and personnel impact | Decreased flow of AGO from AGO Tanks TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B, loss of flow to AGO P- 3A/B, potential cavitation and seal leak, release of AGO to grade, potential ignition and personnel impact"
Flow switch FS- 9402 low flow shutdown on pump P-6 with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,4.0,"MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Transfer Pump P-2 when tank is in transfer to pipeline | Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | High naphtha flow from Transfer Pumps P-2A/B (3100 vs 18888 gpm design vs required) out to product terminal | More recirculation outflow than inflow (operator error) | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation","Loss of flow to Light Naphtha Recirculation Pump P-6, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Loss of flow from Light Naphtha Recirculation Pump P-6, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact"
Flow switch FS- 9404 low flow shutdown on pump P-7 with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 44,High,N/A,4.0,"12"" valve closed on suction to Pump P-7 or strainer plugs | Pump P-HX stops | 10"" valve closed on discharge of Pump P- HX or 8"" valve closed on inlet of AGO Exchangers HX-1/2 | 8"" valve closed on discharge of Pump P-7","Loss of Rerun flow to Pump P-7, potential cavitation and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage | Blocked flow from Pump P-7, potential deadhead and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage"
Flow switch FS- 9630 low flow shutdown on pump P-5 with alarm,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,"12"" valve closed on suction to Transfer Pump P-5 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-5","Loss of flow to AGO to Transfer Pump P-5, potential cavitation and seal leak, release of AGO to atmosphere, potential ignition and personnel impact | Loss of flow to AGO from Transfer Pump P-5, potential deadhead and seal leak, release of AGO to atmosphere, potential seal fire from seal, personnel injury, environmental impact"
Flow switch low FSL-58270 low flow shutdown on pump P- 19 with alarm,FSL-58270,Tier 1: Explicit Interlock/AF Tag,Node 45,High,N/A,4.0,"Manual valve closed on Discharge of Pump P-74532 | 4"" manual valve closed on suction of Pump P-74532 or strainer plugs","Blocked flow from Skimmer Pump P-74532, potential deadhead and seal leak, release of hydrocarbon to grade, potential seal or pool fire, potential personnel injury, environmental impact, asset damage | No flow to Skimmer Pump P-74532, potential cavitation and seal leak, release of hydrocarbon to grade, potential seal or pool fire, potential personnel injury, environmental impact, asset damage"
Ground system trips system on loss of connectivity,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 11,High,N/A,4.0,Driver pulls away while loading or hose rupture | Trailer is not properly grounded before loading,"Potential release from hose/piping, ignition, personnel impact | Potential ignition inside trailer, personnel impact"
High flue gas duct temperature - trips Hot Oil Heater F-33219 TI- 24104A/B/C/D and TI- 59252A/B/C/D,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,2.0,FCV-21555 fails open or bypass inadvertently open,Inadvertent bypass of hot oil flow around EX-11354 Combi Tower Feed Preheater; Potential reduced heat to Combi Tower T- 202 feed; Potential off-spec product; Potential trip to Heater; Potential flaring; Potential downtime; Potential environmental and environmental impact
High flue gas duct temperature - trips Hot Oil Heater F-33219 TI- 67872A/B/C/D and TI- 59252A/B/C/D,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,Multiple Hot Oil Circulation Pumps PM- 202A/B/C/D trip | FCV-35336 fails closed or manual valve(s) inadvertently closed | Reduced heat transfer fluid flow | Hot oil blocked in at Hot Oil Heater F-33219 | What if burner tube ruptures? | What if fuel supply regulator fails open? | What if solids build up on tube internal surfaces? | What if vessel temperature control loop fails open or closed? | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube) | What if blower or motor fails?,"Potential to overpressure hot oil piping, loss of containment, release, personnel impact | Potential for over temperature of Hot Oil Heater F- 201/ducts, heater damage | Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Loss of heat to Combi Tower T-92182 feed; Potential off- spec product; Potential trip to Heater; Potential flaring; Potential downtime; Potential environmental and environmental impact | Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Reduced hot oil flow, potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
High flue gas duct temperature - trips Hot Oil Heater F-81314 TI- 84866A/B/C/D and TI- 87068A/B/C/D,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,What if burner tube ruptures? | Reduced heat transfer fluid flow | What if solids build up on tube internal surfaces? | What if fuel supply regulator fails open? | Hot oil blocked in at Hot Oil Heater F-81314 | What if vessel temperature control loop fails open or closed? | FCV-33121 fails open or bypass inadvertently open | FCV-10390 fails closed or manual valve(s) inadvertently closed | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube) | Multiple Hot Oil Circulation Pumps PM- 102A/B/C/D trip | What if blower or motor fails?,"Potential to overpressure hot oil piping, loss of containment, release, personnel impact | Increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Inadvertent bypass of hot oil flow around EX-60820 Combi Tower Feed Preheater; Potential reduced heat to Combi Tower T- 102 feed; Potential off-spec product; Potential trip to Heater; Potential flaring; Potential downtime; Potential environmental and environmental impact | Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Potential for over temperature of Hot Oil Heater F- 101/ducts, heater damage | Loss of heat to Combi Tower T-56446 feed; Potential off- spec product; Potential trip to Heater; Potential flaring; Potential downtime; Potential environmental and environmental impact | Reduced hot oil flow, potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact"
LAH- 40004/40104 high level shutdown on PV- 410/411 will close inbound valves SDV- 65015/47638,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 11,High,N/A,4.0,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact"
LAHH- 13505/23505 High- High Level Alarm on PV-60820/207 Suction Scrubber will shutdown Splitter 1/2 RGCs,PV-60820,Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,1.0,Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25,"Loss of Light Naphtha flow to storage, deadhead of overhead pump not expected as reflux continue to flow, Combi Tower Accumulator pressure vessel PV-56446/ 202 fills, potential to overfill accumulator to Recycle Compressor Suction Scrubber pressure vessel PV-60820/ 207 compressor suction drum and to compressor, compressor damage"
LAHH-52011 high-high level alarm on Suction Scrubber PV-11354 will shutdown compressors CM- 201A/B,LAHH-52011 | PV-11354,Tier 1: Explicit Interlock/AF Tag,Node 22,High,N/A,1.0,"6"" manual valve from EX-11689 inadvertently closed | TCV-47043A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | TCV-78020B malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-80996A/B inadvertently closed | Combi Tower Bottoms Product Pump PM- 204A/B trips | 6"" manual valve on inlet to AF-99986 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-99986 Bottoms Product Cooler inadvertently closed | LCV-60053 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed","Potential to back-up flow to Combi Tower; High level in Combi Tower T-92182; Potential to overfill T-92182; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Product flow out from the shell side of EX-11689 blocked; No overpressure concerns, as the max pressure from the upstream pumps PM-80996A/B is 59524 psig, and the shell side is MAWP 14664 psig; High level in Combi Tower T-92182; Potential to overfill T-92182; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | High level in Combi Tower T-92182; Potential to overfill T- 202; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact"
LAHH-52011 high-high level alarm on Suction Scrubber PV-11354 will shutdown compressors CM- 201A/B,LAHH-52011 | PV-11354,Tier 1: Explicit Interlock/AF Tag,Node 23,High,N/A,1.0,"12"" manual valve on inlet to Combi Tower Overhead Pumps PM-99986A/B inadvertently closed | 6"" manual valve on shell side outlet from EX-33219 inadvertently closed | LCV-34380 fails closed or upstream/downstream manual valve(s) inadvertently closed | 10"" manual valve on outlet from Combi Tower Overhead Pumps PM-99986A/B inadvertently closed",Potential to build up liquid level in PV-92182 Accumulator; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Inability to send liquids out of PV-92182 Accumulator; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact
LAHH-52011 high-high level alarm on Suction Scrubber PV-11354 will shutdown compressors CM- 201A/B,LAHH-52011 | PV-11354,Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,1.0,Suction Scrubber pressure vessel PV-11354 demister pad saturated | Suction scrubber pump PM-91045A/B failure | PCV-36763A malfunctions open or bypass inadvertently open | Manual valve(s) on suction to Suction scrubber pump PM-91045A/B inadvertently closed | Manual valve(s) on discharge from Suction scrubber pump PM-91045A/B inadvertently closed,"Slow increase in pressure on Combi Tower T-92182; Potential carryover of water to RGC Potential to damage compressor leading to financial impact | Potential high level in Recycle Gas Compressor Suction Scrubber PV-11354; Potential to overfill PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Reduced pressure in Combi Tower T-92182, increased level in Combi Tower Accumulator pressure vessel PV-92182; Potential to overfill PV-92182 and carryover to Recycle Gas Compressor Suction Scrubber PV-11354; Potential to overfill PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact"
