Extracted_Tag_Clean,Alarm_Type,Technique,Confidence,Safeguard_Text,Semantic_Score,Cause_Text,Consequence_Text,Node_ID,S,L,R
FAL19313,LO,Tier 1/2: Deterministic,High,FAL-19313 low flow alarm downstream of AF-59524 will shutdown pumps PM- 106A/B,N/A,"Level control valve LCV-74017 fails closed | T-56446 Combi Tower Tray Pluggage | Manual valve closed inadvertently in Kero Stripper Product Pump PM-76255A/B suction or basket strainers on suction lines plugged | Plugged Kero Filters | MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-56446 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-59524; Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact","Node 7, Node 40",4.0,3.0,2.0
AF59524,LO,Tier 1/2: Deterministic,High,FAL-19313 low flow alarm downstream of AF-59524 will shutdown pumps PM- 106A/B,N/A,"Level control valve LCV-74017 fails closed | T-56446 Combi Tower Tray Pluggage | Manual valve closed inadvertently in Kero Stripper Product Pump PM-76255A/B suction or basket strainers on suction lines plugged | Plugged Kero Filters | MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-56446 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-59524; Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact","Node 7, Node 40",4.0,3.0,2.0
FAL22298,LO,Tier 1/2: Deterministic,High,FAL-22298 low flow alarm on discharge of Combi Tower Bottoms Product Pumps PM- 104A/B will prompt operator response,N/A,"Combi Tower Bottoms Product Pump PM- 104A/B trips | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-59524A/B inadvertently closed | 6"" manual valve from EX-17647 inadvertently closed | TCV-34810B malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve on inlet to AF-73992 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-73992 Bottoms Product Cooler inadvertently closed | TCV-30806A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | LCV-14439 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Manual valve closed on AGO rundown header from one or both splitter towers | 8"" Manual valve closed on Rerun header from one or both splitter towers","High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Product flow out from the shell side of EX-17647 blocked; No overpressure concerns, as the max pressure from the upstream pumps PM-59524A/B is 59524 psig, and the shell side is MAWP 14664 psig; High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Potential to back-up flow to Combi Tower; High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | High level in Combi Tower T-56446; Potential to overfill T- 102; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | High level in Combi Tower T-56446/202; Potential to overfill T-56446/202; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820/207 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Decreased flow of product to storage, not expected to impact Rerun Tank TK-61869-14; Potential financial impact","Node 4, Node 42, Node 44",2.0,2.0,1.0
FAL24128,LO,Tier 1/2: Deterministic,High,FAL-24128 Low flow alarm on reflux flow to Stabilizer T-81314 will prompt operator response,N/A,Naphtha Stabilizer Overhead Pump PM- 101A/B trips | Manual valve on suction line to Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed | Manual valve on discharge line from Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed | LCV-92846 malfunctions closed or upstream/downstream valve(s) inadvertently closed,"Loss of flow of Y-Grade to storage, high level in Naphtha Stabilizer Accumulator pressure vessel PV-81314, potential to overfill Recycle Compressor Discharge Scrubber pressure vessel PV-75469 and send liquid to Hot Oil Furnace F-81314 fuel inlet, potential for damage of burners, heater firebox, potential explosion and personnel impact and damage with downtime greater than 52954 days",Node 3,5.0,1.0,2.0
FAL32116,LO,Tier 1/2: Deterministic,High,FAL-32116 Low flow alarm on reflux flow to Stabilizer T-33219 will prompt operator response,N/A,Naphtha Stabilizer Overhead Pump PM- 201A/B trips | Manual valve on suction line to Naphtha Stabilizer Overhead Pump PM-33219A/B inadvertently closed | Manual valve on discharge line from Naphtha Stabilizer Overhead Pump PM-33219A/B inadvertently closed | LCV-26713 malfunctions closed or upstream/downstream valve(s) inadvertently closed,"Loss of flow of Y-Grade to storage, high level in Naphtha Stabilizer Accumulator pressure vessel PV-33219, potential to overfill Recycle Compressor Discharge Scrubber pressure vessel PV-99938 and send liquid to Hot Oil Furnace F-33219 fuel inlet, potential for damage of burners, heater firebox, potential explosion and personnel impact and damage with downtime greater than 52954 days",Node 21,5.0,1.0,2.0
FAL32394,LO,Tier 1/2: Deterministic,High,FAL-32394 low flow alarm on discharge of Combi Tower Bottoms Product Pumps PM- 204A/B will prompt operator response,N/A,"Combi Tower Bottoms Product Pump PM- 204A/B trips | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-80996A/B inadvertently closed | 6"" manual valve from EX-11689 inadvertently closed | TCV-78020B malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve on inlet to AF-99986 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-99986 Bottoms Product Cooler inadvertently closed | TCV-47043A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | LCV-60053 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Manual valve closed on AGO rundown header from one or both splitter towers | 8"" Manual valve closed on Rerun header from one or both splitter towers","High level in Combi Tower T-92182; Potential to overfill T- 202; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Product flow out from the shell side of EX-11689 blocked; No overpressure concerns, as the max pressure from the upstream pumps PM-80996A/B is 59524 psig, and the shell side is MAWP 14664 psig; High level in Combi Tower T-92182; Potential to overfill T-92182; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Potential to back-up flow to Combi Tower; High level in Combi Tower T-92182; Potential to overfill T-92182; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-11354 and send liquids to the RGC; Potential to damage compressor leading to financial impact | High level in Combi Tower T-56446/202; Potential to overfill T-56446/202; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820/207 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Decreased flow of product to storage, not expected to impact Rerun Tank TK-61869-14; Potential financial impact","Node 22, Node 42, Node 44",2.0,2.0,1.0
FAL38704,LO,Tier 1/2: Deterministic,High,FAL-38704 Low Flow Alarm downstream of AF-11689 Heavy Naphtha Cooler will prompt operator response,N/A,"LCV-16358 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | T-92182 Combi Tower tray pluggage | 8"" valve closed on heavy naphtha rundown header from one or both splitter towers","Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-92182 flooding; leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact","Node 24, Node 39",4.0,2.0,2.0
AF11689,LO,Tier 1/2: Deterministic,High,FAL-38704 Low Flow Alarm downstream of AF-11689 Heavy Naphtha Cooler will prompt operator response,N/A,"LCV-16358 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | T-92182 Combi Tower tray pluggage | 8"" valve closed on heavy naphtha rundown header from one or both splitter towers","Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-92182 flooding; leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact","Node 24, Node 39",4.0,2.0,2.0
FAL56093,LO,Tier 1/2: Deterministic,High,FAL-56093/18310 low flow alarm on discharge of pumps will prompt operator response,N/A,Valve(s) upstream of wash water pumps PM-77069A/B inadvertently closed or strainer plugged | Valve downstream of wash water pumps closed (or plugged) or plugged flow element on pump discharge,"Inability to send wash water to EX-16773A/B and EX-47697A/B exchangers; Potential tube rupture; Potential to contaminate wash water with AGO; Potential water vaporization in exchangers, potential overpressure and potential personnel impact | Inability to send wash water to the desalter system; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact",Node 35,4.0,2.0,2.0
FAL18310,LO,Tier 1/2: Deterministic,High,FAL-56093/18310 low flow alarm on discharge of pumps will prompt operator response,N/A,Valve(s) upstream of wash water pumps PM-77069A/B inadvertently closed or strainer plugged | Valve downstream of wash water pumps closed (or plugged) or plugged flow element on pump discharge,"Inability to send wash water to EX-16773A/B and EX-47697A/B exchangers; Potential tube rupture; Potential to contaminate wash water with AGO; Potential water vaporization in exchangers, potential overpressure and potential personnel impact | Inability to send wash water to the desalter system; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact",Node 35,4.0,2.0,2.0
FAL73508,LO,Tier 1/2: Deterministic,High,FAL-73508 low flow alarm downstream of AF-48495 Diesel Product Cooler will prompt operator response,N/A,"Level control valve LCV-44082 fails closed or T-92182 tower tray plugs | Diesel Stripper Product Pumps PM- 207A/B trips | Manual valve closed on suction to Diesel Stripper Product Pumps PM-11354A/B or basket strainers plugged on suction piping | Manual valve closed on discharge from Diesel Stripper Product Pumps PM-11354A/B | 6"" manual valve on EX-80996 shell side outlet inadvertently closed | 6"" manual valve(s) upstream/downstream AF-48495 Diesel Product Cooler inadvertently closed","Potential to drop diesel into the bottom of the Combi Tower T-92182, potential to send out diesel with the AGO; Potential loss of level in Diesel Stripper T-11689; Potential to cavitate pumps PM- 207A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to drop diesel into the bottom of the Combi Tower T-92182, potential to send out diesel with the AGO; Potential to ultimately flood level in T-92182; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Diesel Stripper T-11689; Inability to draw off diesel from Combi Tower T-92182; Potential to ultimately flood level in T-92182; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential to deadhead pumps PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact",Node 26,4.0,1.0,2.0
AF48495,LO,Tier 1/2: Deterministic,High,FAL-73508 low flow alarm downstream of AF-48495 Diesel Product Cooler will prompt operator response,N/A,"Level control valve LCV-44082 fails closed or T-92182 tower tray plugs | Diesel Stripper Product Pumps PM- 207A/B trips | Manual valve closed on suction to Diesel Stripper Product Pumps PM-11354A/B or basket strainers plugged on suction piping | Manual valve closed on discharge from Diesel Stripper Product Pumps PM-11354A/B | 6"" manual valve on EX-80996 shell side outlet inadvertently closed | 6"" manual valve(s) upstream/downstream AF-48495 Diesel Product Cooler inadvertently closed","Potential to drop diesel into the bottom of the Combi Tower T-92182, potential to send out diesel with the AGO; Potential loss of level in Diesel Stripper T-11689; Potential to cavitate pumps PM- 207A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to drop diesel into the bottom of the Combi Tower T-92182, potential to send out diesel with the AGO; Potential to ultimately flood level in T-92182; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Diesel Stripper T-11689; Inability to draw off diesel from Combi Tower T-92182; Potential to ultimately flood level in T-92182; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential to deadhead pumps PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact",Node 26,4.0,1.0,2.0
FAL80717,LO,Tier 1/2: Deterministic,High,FAL-80717 low flow alarm downstream of AF-80996 will shutdown pumps PM- 206A/B,N/A,"Level control valve LCV-20382 fails closed | T-92182 Combi Tower Tray Pluggage | Manual valve closed inadvertently in Kero Stripper Product Pump PM-48495A/B suction or basket strainers on suction lines plugged | Plugged Kero Filters | MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-92182 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-80996; Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact","Node 25, Node 40",4.0,3.0,2.0
AF80996,LO,Tier 1/2: Deterministic,High,FAL-80717 low flow alarm downstream of AF-80996 will shutdown pumps PM- 206A/B,N/A,"Level control valve LCV-20382 fails closed | T-92182 Combi Tower Tray Pluggage | Manual valve closed inadvertently in Kero Stripper Product Pump PM-48495A/B suction or basket strainers on suction lines plugged | Plugged Kero Filters | MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-92182 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-80996; Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact","Node 25, Node 40",4.0,3.0,2.0
FAL96168,LO,Tier 1/2: Deterministic,High,FAL-96168 low flow alarm downstream of AF-76255 Diesel Product Cooler will prompt operator response,N/A,"Level control valve LCV-15841 fails closed or T-56446 tower tray plugs | Diesel Stripper Product Pumps PM-60820A/B trips | Manual valve closed on suction to Diesel Stripper Product Pumps PM-60820A/B or basket strainers plugged on suction piping | Manual valve closed on discharge from Diesel Stripper Product Pumps PM-60820A/B | 6"" manual valve on EX-59524 shell side outlet inadvertently closed | 6"" manual valve(s) upstream/downstream AF-76255 Diesel Product Cooler inadvertently closed","Potential to drop diesel into the bottom of the Combi Tower T-56446, potential to send out diesel with the AGO; Potential loss of level in Diesel Stripper T-17647; Potential to cavitate pumps PM- 107A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to drop diesel into the bottom of the Combi Tower T-56446, potential to send out diesel with the AGO; Potential to ultimately flood level in T-56446; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Diesel Stripper T-17647; Inability to draw off diesel from Combi Tower T-56446; Potential to ultimately flood level in T-56446; Potential to send liquids in the vapor return lines; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential to deadhead pumps PM-60820A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact",Node 8,4.0,1.0,2.0
